date,commits,commit_count,forks,issue,issue_comment,req_closed,req_opened
2013/9/15,64,2,44,9,74,17,1
2013/9/25,48,2,40,9,33,14,0
2013/10/5,43,1,37,11,36,17,0
2013/10/15,54,0,45,10,19,17,0
2013/10/25,54,0,47,9,14,16,0
2013/11/4,65,0,43,14,26,9,0
2013/11/14,58,3,33,16,40,13,0
2013/11/24,59,5,27,15,42,14,0
2013/12/4,66,5,26,16,50,22,0
2013/12/14,67,2,34,16,52,13,1
2013/12/24,77,0,45,17,56,19,2
2014/1/3,100,6,54,18,57,18,2
2014/1/13,104,6,50,18,50,20,2
2014/1/23,116,6,46,26,73,19,1
2014/2/2,72,0,45,19,53,13,1
2014/2/12,65,3,58,22,59,15,1
2014/2/22,59,3,53,14,30,18,2
2014/3/4,74,3,53,17,42,21,2
2014/3/14,87,0,43,18,44,28,1
2014/3/24,80,0,46,20,48,24,1
2014/4/3,68,0,47,21,66,26,2
2014/4/13,50,2,55,14,49,23,2
2014/4/23,65,2,55,19,69,29,1
2014/5/3,62,2,50,28,77,24,0
2014/5/13,75,0,40,32,84,21,1
2014/5/23,55,0,36,208,523,14,1
2014/6/2,56,0,43,259,695,19,1
2014/6/12,50,0,53,333,839,21,0
2014/6/22,48,0,58,782,1387,20,0
2014/7/2,45,0,57,723,1196,14,0
2014/7/12,63,0,51,661,1073,19,0
2014/7/22,74,0,43,41,134,21,0
2014/8/1,72,0,46,40,125,22,0
2014/8/11,50,0,34,32,112,11,0
2014/8/21,54,0,43,42,74,13,0
2014/8/31,58,0,38,52,118,16,0
2014/9/10,65,3,49,57,147,20,1
2014/9/20,47,3,44,38,116,14,1
2014/9/30,71,4,48,51,175,18,2
2014/10/10,83,15,48,61,202,18,2
2014/10/20,94,16,50,61,214,18,2
2014/10/30,91,16,49,44,121,17,1
2014/11/9,72,5,44,36,87,17,0
2014/11/19,63,4,44,38,78,22,0
2014/11/29,55,3,38,37,64,18,0
2014/12/9,53,0,35,26,47,15,0
2014/12/19,51,0,40,29,51,10,0
2014/12/29,53,0,44,23,52,10,0
2015/1/8,45,0,57,23,42,8,2
2015/1/18,39,0,51,23,50,10,4
2015/1/28,38,9,54,26,62,9,4
2015/2/7,43,11,52,23,66,10,2
2015/2/17,58,11,59,31,70,12,2
2015/2/27,45,2,50,26,66,10,3
2015/3/9,38,0,48,24,50,8,5
2015/3/19,37,0,43,19,63,7,3
2015/3/29,81,0,48,37,112,16,2
2015/4/8,89,0,53,44,120,23,0
2015/4/18,73,1,57,35,101,19,0
2015/4/28,30,1,60,25,73,14,0
2015/5/8,38,1,56,33,110,15,0
2015/5/18,45,0,53,40,112,17,0
2015/5/28,54,0,55,44,88,17,0
2015/6/7,48,0,53,39,79,14,0
2015/6/17,44,0,56,40,84,13,0
2015/6/27,44,0,48,37,87,13,0
2015/7/7,33,0,45,27,50,9,0
2015/7/17,32,0,41,21,35,8,2
2015/7/27,22,0,48,14,34,4,2
2015/8/6,29,0,52,18,52,8,2
2015/8/16,24,0,49,13,42,7,1
2015/8/26,23,0,48,9,27,6,1
2015/9/5,28,0,40,9,16,6,1
2015/9/15,37,0,45,17,34,9,0
2015/9/25,39,0,41,28,52,13,0
2015/10/5,41,0,50,40,94,14,0
2015/10/15,46,0,51,51,117,22,0
2015/10/25,47,0,55,46,119,22,0
2015/11/4,36,0,47,38,93,19,0
2015/11/14,39,0,47,33,72,14,0
2015/11/24,44,0,43,37,72,15,0
2015/12/4,45,0,40,30,56,14,0
2015/12/14,33,0,43,22,65,10,0
2015/12/24,22,0,37,22,76,9,0
2016/1/3,33,0,43,27,82,13,0
2016/1/13,40,0,36,30,58,18,2
2016/1/23,44,0,48,30,51,20,5
2016/2/2,36,0,48,26,44,17,8
2016/2/12,22,0,47,20,61,10,6
2016/2/22,15,0,46,13,64,5,3
2016/3/3,9,0,50,18,68,9,0
2016/3/13,18,0,46,18,52,9,0
2016/3/23,17,0,42,17,29,8,0
2016/4/2,12,0,36,12,20,2,1
2016/4/12,4,0,39,9,15,1,1
2016/4/22,6,0,37,8,16,1,1
2016/5/2,7,0,47,8,13,1,0
2016/5/12,13,1,54,11,17,4,0
2016/5/22,14,1,50,13,12,8,0
2016/6/1,20,4,40,9,11,7,0
2016/6/11,18,3,40,10,4,9,0
2016/6/21,24,3,51,10,12,7,0
2016/7/1,20,0,63,13,14,9,0
2016/7/11,16,0,58,16,27,6,0
2016/7/21,10,0,63,22,62,8,0
2016/7/31,8,0,59,26,98,7,2
2016/8/10,19,0,55,25,95,9,2
2016/8/20,14,0,47,16,50,5,2
2016/8/30,15,0,39,16,43,5,0
2016/9/9,9,0,43,10,37,2,0
2016/9/19,12,0,35,9,36,2,0
2016/9/29,13,0,38,8,19,4,1
2016/10/9,11,0,36,7,15,3,1
2016/10/19,12,0,38,10,41,3,2
2016/10/29,13,0,32,6,44,0,1
2016/11/8,24,1,31,18,80,10,1
2016/11/18,20,1,32,23,88,11,0
2016/11/28,20,1,34,24,74,12,0
2016/12/8,4,0,35,14,50,2,0
2016/12/18,5,0,41,9,30,1,0
2016/12/28,1,0,45,12,43,0,0
2017/1/7,5,0,40,15,51,1,0
2017/1/17,24,0,35,36,67,6,0
2017/1/27,28,0,38,36,63,10,1
2017/2/6,33,0,47,33,45,11,1
2017/2/16,15,0,48,11,26,6,1
2017/2/26,13,0,42,8,21,2,0
2017/3/8,16,0,37,10,33,1,0
2017/3/18,32,0,43,28,58,10,0
