date,commits,commit_count,forks,issue,issue_comment,req_closed,req_opened
2012-8-25,19,0,1,1,6,1,
2012-8-26,23,0,0,0,0,0,
2012-8-27,24,0,0,0,0,1,
2012-8-28,30,0,0,0,0,0,
2012-8-29,19,0,1,0,0,1,
2012-8-30,21,0,0,0,0,0,
2012-8-31,10,0,0,0,0,1,
2012-9-1,17,0,0,0,0,0,
2012-9-2,9,0,0,0,0,0,
2012-9-3,7,0,0,0,0,0,
2012-9-4,67,0,2,0,0,0,
2012-9-5,23,0,0,0,0,0,
2012-9-6,8,0,0,0,0,0,
2012-9-7,16,0,1,0,0,0,
2012-9-8,15,0,1,0,0,0,
2012-9-9,12,0,1,1,1,0,
2012-9-10,14,0,0,0,0,2,
2012-9-11,7,0,1,0,0,0,
2012-9-12,28,0,0,0,0,0,
2012-9-13,12,0,1,0,0,0,
2012-9-14,3,0,1,0,0,0,
2012-9-15,1,0,1,0,0,0,
2012-9-16,10,0,0,0,0,0,
2012-9-17,24,0,0,0,0,0,
2012-9-18,11,0,0,0,0,0,
2012-9-19,27,0,1,0,0,0,
2012-9-20,8,0,0,0,0,1,
2012-9-21,22,0,0,1,1,2,
2012-9-22,15,0,0,0,0,0,
2012-9-23,8,0,0,1,1,0,
2012-9-24,4,0,0,2,2,0,
2012-9-25,9,0,0,0,0,0,
2012-9-26,20,0,0,0,0,1,
2012-9-27,7,0,0,0,0,0,
2012-9-28,22,0,1,0,0,2,
2012-9-29,15,0,0,1,4,1,
2012-9-30,6,0,0,0,0,0,
2012-10-1,15,0,0,0,0,1,
2012-10-2,20,0,0,0,0,0,
2012-10-3,15,0,0,1,1,0,
2012-10-4,7,0,0,0,0,0,
2012-10-5,22,0,1,0,0,0,
2012-10-6,10,0,1,0,0,0,
2012-10-7,3,0,0,0,0,0,
2012-10-8,28,0,1,0,0,0,
2012-10-9,13,0,0,0,0,0,
2012-10-10,26,0,0,0,0,7,
2012-10-11,26,0,0,1,1,2,
2012-10-12,34,0,0,0,0,0,
2012-10-13,17,0,0,0,0,1,
2012-10-14,7,0,1,0,0,0,
2012-10-15,38,0,0,1,1,4,
2012-10-16,16,0,0,0,0,2,
2012-10-17,14,0,0,0,0,1,
2012-10-18,27,0,0,0,0,1,
2012-10-19,16,0,1,0,0,0,
2012-10-20,11,0,0,0,0,0,
2012-10-21,5,0,0,0,0,0,
2012-10-22,12,0,0,0,0,1,
2012-10-23,35,0,2,0,0,7,
2012-10-24,20,0,0,0,0,2,
2012-10-25,6,0,0,0,0,0,
2012-10-26,35,0,1,0,0,1,
2012-10-27,52,0,1,0,0,1,
2012-10-28,53,0,0,0,0,2,
2012-10-29,14,0,2,0,0,5,
2012-10-30,17,0,1,0,0,4,
2012-10-31,18,0,0,0,0,5,
2012-11-1,13,0,1,0,0,1,
2012-11-2,12,0,0,0,0,1,
2012-11-3,1,0,1,0,0,0,
2012-11-4,25,0,0,0,0,4,
2012-11-5,30,0,0,0,0,10,
2012-11-6,15,0,1,0,0,9,
2012-11-7,19,0,1,0,0,10,
2012-11-8,19,0,0,1,7,5,
2012-11-9,14,0,1,0,0,4,
2012-11-10,4,0,0,0,0,2,
2012-11-11,8,0,0,0,0,4,
2012-11-12,19,0,1,0,0,10,
2012-11-13,9,0,1,0,0,4,
2012-11-14,29,0,0,0,0,3,
2012-11-15,18,0,1,0,0,7,
2012-11-16,21,0,2,0,0,2,
2012-11-17,7,0,0,0,0,5,
2012-11-18,5,0,0,0,0,1,
2012-11-19,4,0,1,0,0,2,
2012-11-20,7,0,2,0,0,5,
2012-11-21,6,0,0,0,0,4,
2012-11-22,21,0,0,0,0,7,
2012-11-23,13,0,0,0,0,4,
2012-11-24,9,0,0,0,0,1,
2012-11-25,10,0,0,2,4,2,
2012-11-26,4,0,2,0,0,4,
2012-11-27,4,0,4,1,1,1,
2012-11-28,18,0,2,1,3,4,
2012-11-29,18,0,1,1,8,3,
