date,commits,commit_count,forks,issue,issue_comment,req_closed,req_opened
2013/9/15,59,5,23,7,23,27,1
2013/9/25,43,1,20,4,18,21,0
2013/10/5,58,8,15,5,17,25,0
2013/10/15,71,8,15,5,9,24,0
2013/10/25,70,8,15,7,16,27,0
2013/11/4,40,0,17,7,16,19,0
2013/11/14,57,4,22,10,26,30,0
2013/11/24,64,4,15,8,31,30,0
2013/12/4,70,4,14,8,31,30,0
2013/12/14,43,0,13,7,31,24,0
2013/12/24,50,0,24,7,23,24,0
2014/1/3,59,0,27,9,43,30,0
2014/1/13,79,0,23,9,35,37,0
2014/1/23,65,0,17,9,34,38,0
2014/2/2,58,0,17,8,12,31,0
2014/2/12,70,0,22,7,10,25,0
2014/2/22,72,0,27,8,16,21,0
2014/3/4,75,0,23,7,16,29,0
2014/3/14,56,0,24,8,18,26,0
2014/3/24,52,0,20,6,7,27,0
2014/4/3,62,4,26,6,9,20,0
2014/4/13,55,4,21,4,6,15,1
2014/4/23,67,4,22,3,5,19,1
2014/5/3,43,0,19,1,1,16,1
2014/5/13,67,6,25,1,2,27,0
2014/5/23,68,6,20,1,2,22,0
2014/6/2,107,12,17,4,4,56,0
2014/6/12,89,6,13,3,2,51,0
2014/6/22,86,6,18,3,2,48,0
2014/7/2,48,0,22,1,4,15,0
2014/7/12,93,13,26,3,16,39,1
2014/7/22,88,13,27,3,16,40,1
2014/8/1,96,13,25,3,20,43,1
2014/8/11,53,0,19,2,9,17,0
2014/8/21,70,21,15,2,9,26,0
2014/8/31,74,21,13,1,1,25,0
2014/9/10,92,21,15,0,0,29,0
2014/9/20,99,3,13,0,0,39,0
2014/9/30,92,14,12,1,0,38,0
2014/10/10,64,14,12,3,9,35,0
2014/10/20,50,26,17,3,9,17,1
2014/10/30,58,35,23,2,9,22,1
2014/11/9,57,35,26,131,868,21,1
2014/11/19,53,24,26,357,1663,27,0
2014/11/29,43,4,23,490,2049,20,1
2014/12/9,45,4,20,445,1493,27,1
2014/12/19,41,0,25,282,878,23,2
2014/12/29,49,0,23,181,569,25,1
2015/1/8,49,0,23,134,386,21,1
2015/1/18,63,0,16,97,274,25,0
2015/1/28,68,2,19,71,226,28,0
2015/2/7,77,2,20,37,113,24,0
2015/2/17,50,2,20,18,90,17,0
2015/2/27,30,2,20,15,80,11,1
2015/3/9,15,2,20,14,91,8,1
2015/3/19,69,5,16,26,149,23,1
2015/3/29,68,3,14,26,140,20,0
2015/4/8,92,6,16,35,229,33,0
2015/4/18,43,3,16,22,141,21,0
2015/4/28,72,3,19,26,147,30,1
2015/5/8,99,5,22,26,80,30,3
2015/5/18,109,5,27,29,135,25,3
2015/5/28,92,9,28,25,150,18,3
2015/6/7,59,8,19,20,132,12,1
2015/6/17,336,17,21,65,426,68,2
2015/6/27,412,20,19,83,569,91,2
2015/7/7,402,16,22,78,557,86,2
2015/7/17,122,7,18,29,253,36,1
2015/7/27,48,0,20,16,98,19,1
2015/8/6,53,0,19,19,128,22,2
2015/8/16,94,12,21,27,122,31,2
2015/8/26,116,12,17,31,197,39,1
2015/9/5,153,32,15,29,170,53,1
2015/9/15,115,24,11,20,231,42,2
2015/9/25,78,24,12,8,137,26,3
2015/10/5,35,4,14,5,116,9,2
2015/10/15,21,0,17,1,1,3,1
2015/10/25,17,0,19,4,19,4,1
2015/11/4,7,0,20,4,26,1,1
2015/11/14,16,1,26,19,64,19,2
2015/11/24,29,1,20,20,85,20,2
2015/12/4,40,1,21,23,87,23,2
2015/12/14,49,0,20,17,111,18,2
2015/12/24,43,0,31,18,90,21,2
2016/1/3,34,0,32,14,80,20,2
2016/1/13,13,0,27,6,28,8,1
2016/1/23,9,0,18,3,17,4,0
2016/2/2,22,1,16,7,43,17,2
2016/2/12,25,1,15,8,52,18,2
2016/2/22,32,1,18,9,61,22,2
2016/3/3,33,0,19,8,51,16,0
2016/3/13,33,0,23,7,43,15,1
2016/3/23,26,0,25,6,32,13,1
2016/4/2,21,0,19,6,25,12,1
2016/4/12,52,2,18,31,79,49,0
2016/4/22,66,2,16,34,78,56,0
2016/5/2,68,2,21,260,867,50,1
2016/5/12,60,1,17,3115,12526,38,1
2016/5/22,51,1,15,3116,12545,29,2
2016/6/1,53,3,10,2903,11785,32,1
2016/6/11,34,2,11,40,107,10,1
2016/6/21,29,2,12,43,139,12,0
2016/7/1,16,0,18,42,157,9,3
2016/7/11,13,0,20,27,125,6,5
2016/7/21,33,2,21,31,100,15,7
2016/7/31,35,2,16,22,74,14,4
2016/8/10,30,3,23,29,91,14,2
2016/8/20,10,1,24,23,102,4,2
2016/8/30,5,1,24,18,79,3,3
2016/9/9,8,0,17,17,62,3,4
2016/9/19,9,0,16,12,23,2,3
2016/9/29,9,0,20,11,16,2,3
2016/10/9,11,0,18,9,50,5,3
2016/10/19,9,0,20,12,76,5,3
2016/10/29,46,0,21,18,101,8,2
2016/11/8,65,4,19,21,106,9,1
2016/11/18,87,5,16,37,136,19,1
2016/11/28,81,5,13,36,120,20,1
2016/12/8,80,1,20,40,94,21,1
2016/12/18,62,0,18,24,49,11,0
2016/12/28,31,0,20,20,42,9,2
2017/1/7,9,0,18,11,30,4,2
2017/1/17,5,0,15,9,35,3,2
2017/1/27,6,0,17,13,57,1,0
2017/2/6,56,0,16,33,138,18,0
2017/2/16,58,0,20,37,145,18,1
2017/2/26,56,0,19,37,137,20,2
2017/3/8,13,0,21,19,67,5,4
2017/3/18,19,0,27,20,95,10,5
2017/3/28,33,0,27,27,100,13,4
2017/4/7,34,0,22,31,107,15,3
2017/4/17,37,0,17,31,80,13,1
2017/4/27,78,0,16,45,129,35,2
2017/5/7,79,0,20,39,106,31,2
2017/5/17,100,0,21,44,127,38,2
2017/5/27,50,0,20,32,108,16,3
2017/6/6,53,0,17,92,292,23,4
2017/6/16,45,0,15,117,378,31,5
2017/6/26,50,0,16,121,401,34,3
2017/7/6,39,0,19,69,251,29,1
2017/7/16,18,0,18,39,132,17,0
2017/7/26,8,0,17,31,85,13,0
2017/8/5,11,0,13,24,64,15,0
2017/8/15,11,0,12,29,113,11,0
2017/8/25,14,0,17,32,174,9,1
2017/9/4,21,0,17,34,174,10,3
2017/9/14,28,0,19,33,158,13,3
2017/9/24,28,0,14,26,89,14,2
2017/10/4,32,0,13,34,144,16,0
2017/10/14,33,0,16,32,127,17,1
2017/10/24,43,0,18,42,156,19,1
2017/11/3,53,0,21,40,141,15,2
2017/11/13,54,0,19,35,119,12,4
2017/11/23,107,3,18,72,334,47,4
2017/12/3,84,3,21,66,300,45,3
2017/12/13,75,3,21,70,316,49,1
2017/12/23,33,0,26,41,153,24,4
2018/1/2,43,0,23,51,192,35,6
2018/1/12,101,5,23,62,227,40,5
2018/1/22,154,5,20,69,246,43,4
2018/2/1,152,5,22,61,225,38,3
2018/2/11,96,0,23,73,261,29,3
2018/2/21,28,0,19,52,160,20,1
2018/3/3,29,0,20,46,125,15,1
2018/3/13,42,0,17,23,58,20,2
2018/3/23,39,0,21,25,79,17,2
2018/4/2,34,0,19,27,75,19,2
2018/4/12,19,0,21,22,62,12,1
2018/4/22,28,5,21,29,172,12,1
2018/5/2,31,5,17,64,367,23,2
2018/5/12,38,5,21,85,514,50,5
2018/5/22,61,0,16,331,1366,90,6
2018/6/1,58,0,21,299,1202,94,5
2018/6/11,47,0,18,286,1096,77,2
2018/6/21,15,0,24,27,114,36,1
2018/7/1,15,0,26,40,242,39,0
2018/7/11,20,0,25,31,203,36,1
2018/7/21,32,0,24,47,272,45,1
2018/7/31,28,0,23,36,180,41,1
2018/8/10,22,0,22,39,189,37,0
2018/8/20,6,0,24,24,112,33,3
2018/8/30,3,0,18,17,67,20,3
