date,commits,commit_count,forks,issue,issue_comment,req_closed,req_opened
2013/9/15,92,8,19,22,58,15,0
2013/9/25,98,6,17,25,57,9,0
2013/10/5,75,1,17,22,36,10,0
2013/10/15,102,2,13,17,35,8,0
2013/10/25,109,2,16,24,67,14,0
2013/11/4,93,3,18,24,70,12,1
2013/11/14,72,2,19,22,67,13,1
2013/11/24,63,3,21,14,44,6,1
2013/12/4,59,2,19,15,42,7,0
2013/12/14,47,2,19,18,98,5,0
2013/12/24,44,4,11,19,97,6,0
2014/1/3,70,4,14,25,136,8,0
2014/1/13,83,9,15,22,115,9,0
2014/1/23,84,5,22,28,164,10,0
2014/2/2,67,5,22,27,145,11,0
2014/2/12,76,6,25,30,124,14,0
2014/2/22,76,6,23,22,68,10,0
2014/3/4,119,22,28,18,51,14,0
2014/3/14,145,38,30,21,98,20,2
2014/3/24,162,38,30,27,121,26,2
2014/4/3,130,22,31,29,136,20,2
2014/4/13,87,9,30,25,76,12,0
2014/4/23,64,11,32,19,51,11,0
2014/5/3,44,11,24,16,35,9,1
2014/5/13,36,4,25,15,51,8,1
2014/5/23,20,2,19,15,90,4,1
2014/6/2,15,12,18,13,82,3,0
2014/6/12,13,10,18,10,68,3,1
2014/6/22,18,10,20,9,36,2,3
2014/7/2,45,7,23,13,44,12,3
2014/7/12,45,7,25,14,32,13,2
2014/7/22,38,7,32,13,20,13,0
2014/8/1,25,0,35,19,61,7,1
2014/8/11,28,0,34,20,73,8,1
2014/8/21,29,0,32,20,80,8,1
2014/8/31,16,2,28,11,36,4,0
2014/9/10,19,2,24,16,65,3,0
2014/9/20,20,2,28,18,67,2,0
2014/9/30,31,1,39,20,72,8,0
2014/10/10,38,1,37,19,43,9,0
2014/10/20,49,1,33,19,54,9,0
2014/10/30,48,4,41,23,60,7,0
2014/11/9,41,7,52,17,69,6,0
2014/11/19,32,7,62,12,44,9,0
2014/11/29,21,3,48,6,34,7,0
2014/12/9,15,0,42,4,10,5,0
2014/12/19,26,0,47,8,31,3,1
2014/12/29,55,3,53,20,72,15,1
2015/1/8,73,3,61,24,76,21,1
2015/1/18,88,3,42,23,66,23,0
2015/1/28,117,2,37,13,39,13,1
2015/2/7,142,2,34,16,50,14,1
2015/2/17,156,4,43,15,47,16,1
2015/2/27,138,11,51,17,46,17,0
2015/3/9,103,11,52,16,52,17,0
2015/3/19,66,9,50,18,49,12,0
2015/3/29,33,1,40,14,42,9,0
2015/4/8,36,2,35,14,43,6,0
2015/4/18,50,3,33,14,50,10,2
2015/4/28,56,2,38,16,48,10,3
2015/5/8,53,4,42,14,42,7,3
2015/5/18,32,3,53,9,28,6,1
2015/5/28,42,3,45,14,64,9,0
2015/6/7,46,0,43,17,63,12,0
2015/6/17,69,0,41,24,110,15,0
2015/6/27,56,2,52,20,93,13,0
2015/7/7,51,4,58,16,88,10,1
