date,commits,commit_count,forks,issue,issue_comment,req_closed,req_opened
2013/9/15,268,7,40,3,25,14,1
2013/9/25,350,7,45,4,26,28,0
2013/10/5,349,8,36,3,20,22,0
2013/10/15,355,3,27,3,5,20,0
2013/10/25,343,3,27,3,6,25,0
2013/11/4,377,4,36,3,6,28,0
2013/11/14,452,10,42,2,4,27,0
2013/11/24,513,27,42,4,6,27,0
2013/12/4,536,24,30,4,6,27,0
2013/12/14,428,19,25,4,6,29,0
2013/12/24,312,3,25,2,4,12,0
2014/1/3,240,3,31,5,10,17,0
2014/1/13,236,2,33,5,9,18,0
2014/1/23,256,4,39,5,7,25,0
2014/2/2,263,9,42,2,1,22,0
2014/2/12,305,9,48,2,2,23,0
2014/2/22,274,8,42,7,7,27,0
2014/3/4,240,3,43,8,7,26,0
2014/3/14,235,6,39,7,5,25,0
2014/3/24,231,4,44,1,0,17,0
2014/4/3,290,3,39,0,0,14,0
2014/4/13,281,0,43,2,0,14,0
2014/4/23,319,1,37,3,0,16,0
2014/5/3,329,9,36,5,10,21,0
2014/5/13,473,10,27,3,10,24,0
2014/5/23,440,9,29,61,219,27,0
2014/6/2,392,1,27,194,533,21,0
2014/6/12,267,2,28,318,791,25,0
2014/6/22,296,3,28,314,718,21,0
2014/7/2,315,4,34,223,461,30,0
2014/7/12,316,5,42,122,252,29,0
2014/7/22,323,6,42,77,134,27,0
2014/8/1,305,5,40,41,79,21,0
2014/8/11,266,2,32,19,32,11,0
2014/8/21,310,2,27,14,25,12,0
2014/8/31,336,2,27,14,26,15,0
2014/9/10,345,2,45,19,33,19,0
2014/9/20,319,4,49,22,43,22,0
2014/9/30,368,4,52,20,33,19,0
2014/10/10,411,4,41,18,24,19,0
2014/10/20,424,5,43,17,15,19,0
2014/10/30,409,9,52,15,16,17,0
2014/11/9,413,14,58,16,19,17,0
2014/11/19,384,10,57,21,14,22,0
2014/11/29,374,6,47,24,13,25,0
2014/12/9,397,7,41,29,13,31,0
2014/12/19,395,7,47,32,48,33,0
2014/12/29,365,8,41,30,50,31,0
2015/1/8,302,3,46,25,59,23,0
2015/1/18,279,9,42,18,56,16,0
2015/1/28,244,10,51,23,73,20,0
2015/2/7,252,9,35,23,66,22,0
2015/2/17,297,2,36,24,36,24,0
2015/2/27,328,0,37,23,28,25,0
