date,commits,commit_count,forks,issue,issue_comment,req_closed,req_opened
2013/9/15,232,9,23,115,471,77,1
2013/9/25,191,8,19,65,331,49,0
2013/10/5,188,6,14,47,215,43,0
2013/10/15,165,4,13,37,162,37,0
2013/10/25,167,0,18,45,177,37,0
2013/11/4,166,0,18,51,210,42,0
2013/11/14,204,0,19,51,227,42,0
2013/11/24,165,0,17,45,193,42,0
2013/12/4,149,0,17,42,183,37,0
2013/12/14,110,0,15,34,138,25,0
2013/12/24,127,0,16,34,169,20,0
2014/1/3,170,1,13,31,157,25,0
2014/1/13,240,7,14,52,292,56,1
2014/1/23,289,7,17,62,343,75,1
2014/2/2,364,9,21,81,441,108,1
2014/2/12,315,3,23,58,295,83,0
2014/2/22,261,3,22,40,193,66,1
2014/3/4,156,0,20,32,135,32,1
2014/3/14,127,0,20,38,190,31,2
2014/3/24,106,0,20,39,192,27,1
2014/4/3,84,0,21,42,229,34,1
2014/4/13,139,0,24,49,235,40,1
2014/4/23,170,0,21,57,290,53,1
2014/5/3,170,0,17,48,237,43,1
2014/5/13,129,0,15,34,154,36,0
2014/5/23,107,0,14,241,2288,36,0
2014/6/2,94,0,20,403,3441,32,0
2014/6/12,97,0,22,480,4007,35,0
2014/6/22,102,1,21,324,2155,25,0
2014/7/2,123,1,21,215,1247,25,0
2014/7/12,106,1,16,173,871,18,0
2014/7/22,101,0,17,153,793,28,0
2014/8/1,111,0,16,111,605,38,0
2014/8/11,235,7,21,165,914,94,0
2014/8/21,236,7,22,141,794,88,0
2014/8/31,220,7,21,150,859,87,0
2014/9/10,100,0,14,61,470,33,0
2014/9/20,79,0,12,49,460,24,0
2014/9/30,69,0,13,25,300,14,0
2014/10/10,62,0,13,25,189,19,1
2014/10/20,77,0,16,21,61,19,1
2014/10/30,149,0,16,75,330,61,2
2014/11/9,176,0,22,101,448,65,1
2014/11/19,214,0,22,135,666,96,1
2014/11/29,181,0,20,111,575,75,0
2014/12/9,254,0,12,142,744,103,0
2014/12/19,252,0,14,137,654,88,2
2014/12/29,286,0,16,164,927,103,5
2015/1/8,206,0,30,114,704,69,5
2015/1/18,191,0,28,94,672,58,3
2015/1/28,152,0,34,59,414,40,0
2015/2/7,188,0,30,66,482,46,1
2015/2/17,213,0,30,82,674,60,1
2015/2/27,209,1,27,75,519,51,1
2015/3/9,178,3,25,81,681,55,1
2015/3/19,178,3,30,84,591,55,1
2015/3/29,170,2,32,90,656,56,1
2015/4/8,228,6,26,111,628,68,0
2015/4/18,237,11,22,129,886,81,1
2015/4/28,233,11,20,124,910,79,1
2015/5/8,157,5,26,89,733,59,1
2015/5/18,85,0,28,48,312,24,0
2015/5/28,102,0,27,58,311,26,0
2015/6/7,124,0,26,65,309,33,1
2015/6/17,198,0,27,77,364,44,3
2015/6/27,208,0,27,72,389,40,3
2015/7/7,274,0,27,73,381,35,3
2015/7/17,277,0,25,88,587,48,2
2015/7/27,255,0,23,80,530,51,2
2015/8/6,191,0,24,89,552,50,1
2015/8/16,135,0,24,61,298,29,0
2015/8/26,147,0,25,60,262,26,0
2015/9/5,147,0,25,35,361,17,0
2015/9/15,199,0,27,108,741,70,1
2015/9/25,236,0,30,143,887,89,1
2015/10/5,250,0,31,196,997,116,2
2015/10/15,210,0,32,140,691,75,1
2015/10/25,177,0,37,115,580,68,1
2015/11/4,184,0,39,96,594,65,1
2015/11/14,174,0,38,104,612,68,2
2015/11/24,139,0,36,83,519,53,2
2015/12/4,122,0,36,77,401,43,2
2015/12/14,181,0,35,90,561,50,1
2015/12/24,223,0,33,127,896,72,2
2016/1/3,207,0,31,115,796,65,2
2016/1/13,187,0,28,133,833,85,2
2016/1/23,199,0,31,144,723,98,1
2016/2/2,221,2,32,187,939,110,0
2016/2/12,216,2,38,163,786,88,0
2016/2/22,173,2,34,123,643,56,0
