date,project_id,commits,commit_count,forks,issue,issue_comment,req_closed,req_opened,score
2018/1/9,Chinese-Word-Vectors,0.022556391,,0.076887232,0.046728972,0.048076923,0.5,,0.694249518
2018/1/19,Chinese-Word-Vectors,0,,0.040540541,0.056074766,0.0625,0,,0.159115307
2018/1/29,Chinese-Word-Vectors,0.112781955,,0.015377446,0.028037383,0.014423077,0,,0.170619861
2018/2/8,Chinese-Word-Vectors,0,,0.012581547,0.046728972,0.048076923,0,,0.107387442
2018/2/18,Chinese-Word-Vectors,0,,0.011649581,0,0,0,,0.011649581
2018/2/28,Chinese-Word-Vectors,0,,0.007921715,0.018691589,0.019230769,0,,0.045844073
2018/3/10,Chinese-Word-Vectors,0,,0.008853681,0.028037383,0.028846154,0,,0.065737218
2018/3/20,Chinese-Word-Vectors,0,,0.009785648,0,0,0,,0.009785648
2018/3/30,Chinese-Word-Vectors,0,,0.006057782,0.009345794,0.009615385,0,,0.025018961
2018/4/9,Chinese-Word-Vectors,0,,0.007921715,0.028037383,0.024038462,0,,0.05999756
2018/4/19,Chinese-Word-Vectors,0.218045113,,0.009785648,0.009345794,0.004807692,0,,0.241984247
2018/4/29,Chinese-Word-Vectors,0.142857143,,0.011183597,0.009345794,0.009615385,0,,0.173001919
2018/5/9,Chinese-Word-Vectors,0.218045113,,0.009785648,0,0,0,,0.227830761
2018/5/19,Chinese-Word-Vectors,0.052631579,,0.010251631,0.009345794,0.004807692,0,,0.077036696
2018/5/29,Chinese-Word-Vectors,0.007518797,,0.006989748,0.009345794,0.014423077,0,,0.038277416
2018/6/8,Chinese-Word-Vectors,0.015037594,,0.006057782,0.009345794,0.004807692,0,,0.035248862
2018/6/18,Chinese-Word-Vectors,0,,0.016309413,0.028037383,0.033653846,0,,0.078000642
2018/6/28,Chinese-Word-Vectors,0.015037594,,0.011649581,0.009345794,0.004807692,0,,0.040840661
2018/7/8,Chinese-Word-Vectors,0.030075188,,0.013979497,0.028037383,0.038461538,0,,0.110553606
2018/7/18,Chinese-Word-Vectors,0,,0.01304753,0,0,0,,0.01304753
2018/7/28,Chinese-Word-Vectors,0,,0.010717614,0,0,0,,0.010717614
2018/8/7,Chinese-Word-Vectors,0,,0.007921715,0,0,0,,0.007921715
2018/8/17,Chinese-Word-Vectors,0,,0.010717614,0,0,0,,0.010717614
2018/8/27,Chinese-Word-Vectors,0,,0.013513514,0,0,0,,0.013513514
2018/9/6,Chinese-Word-Vectors,0,,0.008387698,0,0,0,,0.008387698
2018/9/16,Chinese-Word-Vectors,0,,0.009319664,0.009345794,0.004807692,0,,0.02347315
2018/9/26,Chinese-Word-Vectors,0,,0.005125815,0.009345794,0.019230769,0,,0.033702378
2018/10/6,Chinese-Word-Vectors,0,,0.001863933,0,0,0,,0.001863933
2018/10/16,Chinese-Word-Vectors,0.097744361,,0.004659832,0.009345794,0.009615385,0,,0.121365372
2018/10/26,Chinese-Word-Vectors,0,,0.012115564,0,0,0,,0.012115564
2018/11/5,Chinese-Word-Vectors,0,,0.010251631,0,0,0,,0.010251631
2018/11/15,Chinese-Word-Vectors,0.007518797,,0.01304753,0,0,0,,0.020566327
2018/11/25,Chinese-Word-Vectors,0,,0.006989748,0.009345794,0,0,,0.016335542
2018/12/5,Chinese-Word-Vectors,0,,0.011649581,0,0,0,,0.011649581
2018/12/15,Chinese-Word-Vectors,0,,0.009785648,0.037383178,0.038461538,0,,0.085630364
2018/12/25,Chinese-Word-Vectors,0,,0.012115564,0.009345794,0.009615385,0,,0.031076743
2019/1/4,Chinese-Word-Vectors,0,,0.012581547,0.009345794,0.004807692,0,,0.026735033
2019/1/14,Chinese-Word-Vectors,0,,0.01304753,0,0,0,,0.01304753
2019/1/24,Chinese-Word-Vectors,0,,0.007921715,0.018691589,0.004807692,0,,0.031420996
2019/2/3,Chinese-Word-Vectors,0,,0.006989748,0,0,0,,0.006989748
2019/2/13,Chinese-Word-Vectors,0,,0.005125815,0.009345794,0.076923077,0,,0.091394686
2019/2/23,Chinese-Word-Vectors,0,,0.007921715,0.009345794,0.004807692,0,,0.022075201
2019/3/5,Chinese-Word-Vectors,0,,0.01304753,0.009345794,0.009615385,0,,0.032008709
2019/3/15,Chinese-Word-Vectors,0,,0.007921715,0.009345794,0.004807692,0,,0.022075201
2019/3/25,Chinese-Word-Vectors,0,,0.009319664,0.009345794,0.009615385,0,,0.028280843
2019/4/4,Chinese-Word-Vectors,0.022556391,,0.006989748,0,0,0,,0.029546139
2019/4/14,Chinese-Word-Vectors,0,,0.009319664,0,0,0,,0.009319664
2019/4/24,Chinese-Word-Vectors,0,,0.005591799,0,0,0,,0.005591799
2019/5/4,Chinese-Word-Vectors,0,,0.009319664,0.009345794,0.014423077,0,,0.033088535
2019/5/14,Chinese-Word-Vectors,0,,0.009785648,0.009345794,0.004807692,0,,0.023939134
2019/5/24,Chinese-Word-Vectors,0,,0.010717614,0.009345794,0.004807692,0,,0.0248711
2019/6/3,Chinese-Word-Vectors,0,,0.005591799,0.009345794,0.014423077,0,,0.02936067
2019/6/13,Chinese-Word-Vectors,0,,0.004659832,0.009345794,0.004807692,0,,0.018813318
2019/6/23,Chinese-Word-Vectors,0,,0.008387698,0.018691589,0.009615385,0,,0.036694672
2019/7/3,Chinese-Word-Vectors,0,,0.008387698,0.009345794,0.009615385,0,,0.027348877
2019/7/13,Chinese-Word-Vectors,0,,0.006989748,0.018691589,0.009615385,0,,0.035296722
2019/7/23,Chinese-Word-Vectors,0,,0.010717614,0,0,0,,0.010717614
2019/8/2,Chinese-Word-Vectors,0,,0.007921715,0.018691589,0.019230769,0,,0.045844073
2019/8/12,Chinese-Word-Vectors,0,,0.007921715,0,0,0,,0.007921715
2019/8/22,Chinese-Word-Vectors,0,,0.007921715,0.009345794,0,0,,0.017267509
2019/9/1,Chinese-Word-Vectors,0,,0.006989748,0.009345794,0.004807692,0,,0.021143234
2019/9/11,Chinese-Word-Vectors,0,,0.007455732,0.009345794,0.004807692,0,,0.021609218
2019/9/21,Chinese-Word-Vectors,0,,0.001863933,0,0,0,,0.001863933
2019/10/1,Chinese-Word-Vectors,0,,0.000931966,0,0,0,,0.000931966
2019/10/11,Chinese-Word-Vectors,0,,0.005125815,0,0,0,,0.005125815
2019/10/21,Chinese-Word-Vectors,0,,0.004193849,0,0,0,,0.004193849
2019/10/31,Chinese-Word-Vectors,0,,0.010251631,0,0,0,,0.010251631
2019/11/10,Chinese-Word-Vectors,0,,0.006523765,0.018691589,0.014423077,0,,0.039638431
2019/11/20,Chinese-Word-Vectors,0,,0.004659832,0,0,0,,0.004659832
2019/11/30,Chinese-Word-Vectors,0,,0.006989748,0,0,0,,0.006989748
2019/12/10,Chinese-Word-Vectors,0,,0.006989748,0,0,0,,0.006989748
2019/12/20,Chinese-Word-Vectors,0,,0.008387698,0.009345794,0.004807692,0,,0.022541184
2019/12/30,Chinese-Word-Vectors,0,,0.002795899,0.009345794,0.004807692,0,,0.016949385
2020/1/9,Chinese-Word-Vectors,0,,0.008387698,0.018691589,0.028846154,0,,0.055925441
2020/1/19,Chinese-Word-Vectors,0,,0.006057782,0,0,0,,0.006057782
2020/1/29,Chinese-Word-Vectors,0,,0.007921715,0,0,0,,0.007921715
2020/2/8,Chinese-Word-Vectors,0,,0.003727866,0.018691589,0.009615385,0,,0.03203484
2020/2/18,Chinese-Word-Vectors,0,,0.003727866,0.009345794,0.009615385,0,,0.022689045
2020/2/28,Chinese-Word-Vectors,0.007518797,,0.005125815,0.009345794,0,0,,0.021990406
