date,project_id,commits,commit_count,forks,issue,issue_comment,req_closed,req_opened,score
2009/7/6,cache,0.006361323,0,0.004784689,0.002475248,0,0.003236246,0,0.016857506
2009/7/16,cache,0,0,0,0,0,0,0,0
2009/7/26,cache,0.001272265,0,0,0,0,0.003236246,0,0.004508511
2009/8/5,cache,0.001272265,0,0.004784689,0,0,0.003236246,0,0.0092932
2009/8/15,cache,0,0,0,0,0,0,0,0
2009/8/25,cache,0,0,0.009569378,0.004950495,0.002939015,0,0,0.017458888
2009/9/4,cache,0,0,0,0,0,0,0,0
2009/9/14,cache,0,0,0.004784689,0,0,0,0,0.004784689
2009/9/24,cache,0,0,0,0.002475248,0.000734754,0.006472492,0,0.009682494
2009/10/4,cache,0,0,0,0,0,0.003236246,0,0.003236246
2009/10/14,cache,0.006361323,0,0,0.007425743,0.001469508,0,0,0.015256574
2009/10/24,cache,0.002544529,0,0.009569378,0.002475248,0.005878031,0.003236246,0,0.023703432
2009/11/3,cache,0.001272265,0,0,0,0,0,0,0.001272265
2009/11/13,cache,0,0,0,0.004950495,0,0,0,0.004950495
2009/11/23,cache,0,0,0,0.002475248,0.000734754,0.01618123,0,0.019391232
2009/12/3,cache,0.001272265,0,0,0,0,0,0,0.001272265
2009/12/13,cache,0,0,0,0,0,0,0,0
2009/12/23,cache,0,0,0.004784689,0,0,0.003236246,0,0.008020935
2010/1/2,cache,0,0,0,0,0,0.003236246,0,0.003236246
2010/1/12,cache,0,0,0,0.012376238,0.0191036,0,0,0.031479838
2010/1/22,cache,0.002544529,0,0,0,0,0,0,0.002544529
2010/2/1,cache,0.001272265,0,0.004784689,0,0,0,0,0.006056954
2010/2/11,cache,0,0,0,0,0,0.022653722,0,0.022653722
2010/2/21,cache,0,0,0.004784689,0,0,0.003236246,0,0.008020935
2010/3/3,cache,0.001272265,0,0,0,0,0,0,0.001272265
2010/3/13,cache,0.003816794,0,0,0.002475248,0.000734754,0,0,0.007026796
2010/3/23,cache,0.001272265,0,0,0,0,0,0,0.001272265
2010/4/2,cache,0,0,0,0,0,0,0,0
2010/4/12,cache,0,0,0,0,0,0.006472492,0,0.006472492
2010/4/22,cache,0.001272265,0,0.004784689,0,0,0,0,0.006056954
2010/5/2,cache,0,0,0.004784689,0,0,0,0,0.004784689
2010/5/12,cache,0,0,0.004784689,0,0,0,0,0.004784689
2010/5/22,cache,0,0,0,0,0,0,0,0
2010/6/1,cache,0,0,0,0,0,0,0,0
2010/6/11,cache,0,0,0,0,0,0,0,0
2010/6/21,cache,0,0,0,0,0,0,0,0
