date,project_id,commits,commit_count,forks,issue,issue_comment,req_closed,req_opened,score
2012/8/25,core,0.004296378,0,0.000990589,2.52E-05,2.22E-05,0.000189448,,0.005523811
2012/9/4,core,0.004848427,0,0.003467063,2.52E-05,3.70E-06,9.47E-05,,0.00843909
2012/9/14,core,0.003096272,0,0.001485884,5.03E-05,7.41E-06,0.000142086,,0.004781995
2012/9/24,core,0.003192281,0,0.000495295,0.00010069,2.59E-05,0.00023681,,0.004051003
2012/10/4,core,0.004464393,0,0.001485884,2.52E-05,3.70E-06,0.000473619,,0.006452772
2012/10/14,core,0.004344382,0,0.001981179,2.52E-05,3.70E-06,0.000757791,,0.007112228
2012/10/24,core,0.005760507,0,0.002971768,0,0,0.001041963,,0.009774238
2012/11/3,core,0.003696325,0,0.002476474,2.52E-05,2.59E-05,0.002746993,,0.008970892
2012/11/13,core,0.003048268,0,0.003467063,0,0,0.001894478,,0.008409809
2012/11/23,core,0.00249622,0,0.005943536,0.000151035,6.67E-05,0.001278772,,0.009936233
2012/12/3,core,0.003000264,0,0.001981179,2.52E-05,1.48E-05,0.001799754,,0.006821185
2012/12/13,core,0.003600317,0,0.002971768,5.03E-05,1.11E-05,0.002178649,,0.008812191
2012/12/23,core,0.001752154,0,0.001485884,2.52E-05,1.85E-05,0.000426257,,0.003707987
2013/1/2,core,0.004896431,0,0.002971768,5.03E-05,7.41E-06,0.001752392,,0.009678344
2013/1/12,core,0.004968437,0,0.001981179,2.52E-05,3.70E-06,0.001847116,,0.008825608
2013/1/22,core,0.00806471,0,0.004457652,5.03E-05,3.33E-05,0.002557545,,0.015163587
2013/2/1,core,0.008808775,0,0.001981179,2.52E-05,7.41E-06,0.005778157,,0.016600691
2013/2/11,core,0.007176632,0,0.001981179,2.52E-05,3.70E-06,0.004167851,,0.013354538
2013/2/21,core,0.007440655,0,0.004457652,5.03E-05,1.48E-05,0.004688832,,0.016652299
2013/3/3,core,0.004272376,0,0.002476474,5.03E-05,1.85E-05,0.00317325,,0.009990964
2013/3/13,core,0.003336294,0,0.006934126,5.03E-05,1.48E-05,0.001989201,,0.012324781
2013/3/23,core,0.002328205,0,0.006934126,2.52E-05,9.26E-05,0.001752392,,0.011132492
2013/4/2,core,0.003312291,0,0.002476474,7.55E-05,0.00016297,0.002841716,,0.008868968
