date,project_id,commits,commit_count,forks,issue,issue_comment,req_closed,req_opened,score
2005/4/7,git,0.001474158,0.392105263,4.92E-05,0.021934197,0.003137979,0,0,0.418700771
2005/4/17,git,0.002099558,0.001315789,0,0.008973081,0.001476696,0,0,0.013865124
2005/4/27,git,0.002144229,0,4.92E-05,0.012961117,0.003045685,0,0,0.018200205
2005/5/7,git,0.001176348,0,0,0.004985045,0.001107522,0,0,0.007268915
2005/5/17,git,0.001965543,0,0,0.027916251,0.002676511,0,0,0.032558305
2005/5/27,git,0.001489048,0.001315789,0,0,0,0,0,0.002804837
2005/6/6,git,0.001325253,0,0,0,0,0,0,0.001325253
2005/6/16,git,0.001399705,0.005263158,0,0.001994018,0,0,0,0.008656881
2005/6/26,git,0.002293134,0,4.92E-05,0,0,0,0,0.002342308
2005/7/6,git,0.001935762,0,0,0.001994018,9.23E-05,0,0,0.004022074
2005/7/16,git,0.001042334,0,4.92E-05,0.000997009,0.000184587,0,0,0.002273104
2005/7/26,git,0.00154861,0,0,0,0,0,0,0.00154861
2005/8/5,git,0.002724958,0.006578947,9.83E-05,0,0,0,0,0.009402253
2005/8/15,git,0.002025105,0,0,0,0,0,0,0.002025105
2005/8/25,git,0.001444377,0,0,0.001994018,0,0,0,0.003438395
2005/9/4,git,0.001533719,0,0,0.004985045,0.002215044,0,0,0.008733808
2005/9/14,git,0.00184642,0,9.83E-05,0,0,0,0,0.001944768
2005/9/24,git,0.001816639,0,4.92E-05,0,0,0,0,0.001865813
2005/10/4,git,0.001995324,0,9.83E-05,0.003988036,0.000646054,0,0,0.006727762
2005/10/14,git,0.001876201,0,0,0.000997009,9.23E-05,0,0,0.002965504
2005/10/24,git,0.001444377,0,0,0.000997009,0,0,0,0.002441386
2005/11/3,git,0.002069777,0,0,0.000997009,0.000184587,0,0,0.003251373
2005/11/13,git,0.002248463,0,0,0.000997009,0.000369174,0,0,0.003614646
2005/11/23,git,0.002010215,0,0,0.000997009,0.000184587,0,0,0.003191811
2005/12/3,git,0.001489048,0,0,0.002991027,0.001753576,0,0,0.006233651
2005/12/13,git,0.001623062,0.002631579,4.92E-05,0,0,0,0,0.004303815
2005/12/23,git,0.000699853,0,4.92E-05,0.000997009,9.23E-05,0,0,0.001838329
2006/1/2,git,0.000967881,0,0,0,0,0,0,0.000967881
2006/1/12,git,0.000774305,0,0,0,0,0,0,0.000774305
2006/1/22,git,0.001087005,0,0,0.012961117,0.002861098,0,0,0.01690922
2006/2/1,git,0.001429486,0,4.92E-05,0,0,0,0,0.00147866
2006/2/11,git,0.002561163,0,0,0,0,0,0,0.002561163
2006/2/21,git,0.003454591,0,4.92E-05,0,0,0,0,0.003503765
2006/3/3,git,0.002263353,0,4.92E-05,0.007976072,0.002491924,0,0,0.012780523
2006/3/13,git,0.001265691,0,0.000147522,0.000997009,0.00027688,0,0,0.002687102
2006/3/23,git,0.001072115,0,0,0.002991027,0.000738348,0,0,0.00480149
2006/4/2,git,0.001950653,0,4.92E-05,0.002991027,0.000184587,0,0,0.005175441
2006/4/12,git,0.002278244,0,0,0,0,0,0,0.002278244
2006/4/22,git,0.002129339,0,4.92E-05,0.000997009,9.23E-05,0,0,0.003267815
2006/5/2,git,0.002739848,0,0,0,0,0,0,0.002739848
2006/5/12,git,0.002590944,0,0,0.003988036,0.000922935,0,0,0.007501915
2006/5/22,git,0.00279941,0,0,0.000997009,0,0,0,0.003796419
2006/6/1,git,0.001429486,0,0,0.000997009,0.000184587,0,0,0.002611082
2006/6/11,git,0.001578391,0,4.92E-05,0,0,0,0,0.001627565
2006/6/21,git,0.002650506,0,0,0.000997009,0.000738348,0,0,0.004385863
2006/7/1,git,0.002069777,0,0,0.005982054,0.001015228,0,0,0.009067059
2006/7/11,git,0.001206129,0,9.83E-05,0.001994018,0.000369174,0,0,0.003667669
2006/7/21,git,0.001682624,0,0,0,0,0,0,0.001682624
2006/7/31,git,0.002144229,0,0.000147522,0.000997009,0,0,0,0.00328876
2006/8/10,git,0.001935762,0,4.92E-05,0.001994018,0.000184587,0,0,0.004163541
2006/8/20,git,0.002084667,0,4.92E-05,0,0,0,0,0.002133841
2006/8/30,git,0.000982772,0,0.000245869,0.000997009,9.23E-05,0,0,0.002317944
2006/9/9,git,0.001399705,0,4.92E-05,0,0,0,0,0.001448879
2006/9/19,git,0.002278244,0,4.92E-05,0,0,0,0,0.002327418
2006/9/29,git,0.001459267,0,4.92E-05,0,0,0,0,0.001508441
2006/10/9,git,0.000774305,0,4.92E-05,0.000997009,0,0,0,0.001820488
2006/10/19,git,0.001891091,0,0,0,0,0,0,0.001891091
