date,project_id,commits,commit_count,forks,issue,issue_comment,req_closed,req_opened,score
2009/6/18,guava,0.000171409,0,0,0,0,0,0,0.000171409
2009/6/28,guava,0,0,0,0,0,0,0,0
2009/7/8,guava,0,0,0,0,0,0,0,0
2009/7/18,guava,0,0,0,0,0,0,0,0
2009/7/28,guava,0,0,0,0,0,0,0,0
2009/8/7,guava,0,0,0,0,0,0,0,0
2009/8/17,guava,0,0,0,0,0,0,0,0
2009/8/27,guava,0,0,0,0,0,0,0,0
2009/9/6,guava,0.000171409,0,0,0,0,0,0,0.000171409
2009/9/16,guava,0,0,0,0,0,0,0,0
2009/9/26,guava,0.000171409,0,0,0,0,0,0,0.000171409
2009/10/6,guava,0,0,0,0,0,0,0,0
2009/10/16,guava,0,0,0,0,0,0,0,0
2009/10/26,guava,0.000171409,0,0,0,0,0,0,0.000171409
2009/11/5,guava,0,0,0,0,0,0,0,0
2009/11/15,guava,0,0,0,0,0,0,0,0
2009/11/25,guava,0,0,0,0,0,0,0,0
2009/12/5,guava,0,0,0,0,0,0,0,0
2009/12/15,guava,0,0,0,0,0,0,0,0
2009/12/25,guava,0,0,0,0,0,0,0,0
2010/1/4,guava,0.000514227,0,0,0,0,0,0,0.000514227
2010/1/14,guava,0,0,0,0,0,0,0,0
2010/1/24,guava,0,0,0,0,0,0,0,0
2010/2/3,guava,0,0,0,0,0,0,0,0
2010/2/13,guava,0,0,0,0,0,0,0,0
2010/2/23,guava,0,0,0,0,0,0,0,0
2010/3/5,guava,0,0,0,0,0,0,0,0
2010/3/15,guava,0,0,0,0,0,0,0,0
2010/3/25,guava,0,0,0,0,0,0,0,0
2010/4/4,guava,0.001371272,0,0,0,0,0,0,0.001371272
2010/4/14,guava,0.000171409,0,0,0,0,0,0,0.000171409
2010/4/24,guava,0.000514227,0,0,0,0,0,0,0.000514227
2010/5/4,guava,0.000171409,0,0,0,0,0,0,0.000171409
2010/5/14,guava,0,0,0,0,0,0,0,0
2010/5/24,guava,0.000857045,0,0,0,0,0,0,0.000857045
2010/6/3,guava,0.000685636,0,0,0,0,0,0,0.000685636
2010/6/13,guava,0.000514227,0,0,0,0,0,0,0.000514227
2010/6/23,guava,0.000857045,0,0,0,0,0,0,0.000857045
2010/7/3,guava,0.000342818,0,0,0,0,0,0,0.000342818
2010/7/13,guava,0,0,0,0,0,0,0,0
2010/7/23,guava,0.000514227,0,0,0,0,0,0,0.000514227
2010/8/2,guava,0.00171409,0,0,0,0,0,0,0.00171409
2010/8/12,guava,0.001028454,0,0,0,0,0,0,0.001028454
2010/8/22,guava,0.001199863,0,0,0,0,0,0,0.001199863
2010/9/1,guava,0.002399726,0,0,0,0,0,0,0.002399726
2010/9/11,guava,0.001199863,0,0,0,0,0,0,0.001199863
2010/9/21,guava,0.001028454,0,0,0,0,0,0,0.001028454
2010/10/1,guava,0.000342818,0,0,0,0,0,0,0.000342818
2010/10/11,guava,0.000342818,0,0,0,0,0,0,0.000342818
2010/10/21,guava,0.000171409,0,0,0,0,0,0,0.000171409
2010/10/31,guava,0,0,0,0,0,0,0,0
2010/11/10,guava,0,0,0,0,0,0,0,0
2010/11/20,guava,0,0,0,0,0,0,0,0
2010/11/30,guava,0.000171409,0,0,0,0,0,0,0.000171409
2010/12/10,guava,0,0,0,0,0,0,0,0
2010/12/20,guava,0,0,0,0,0,0,0,0
2010/12/30,guava,0.000171409,0,0,0,0,0,0,0.000171409
2011/1/9,guava,0.000171409,0,0,0,0,0,0,0.000171409
2011/1/19,guava,0.000857045,0,0,0,0,0,0,0.000857045
