date,project_id,commits,commit_count,forks,issue,issue_comment,req_closed,req_opened,score
2009/5/19,hadoop,0.000385223,0,0,0,0,0,0,0.000385223
2009/5/29,hadoop,0.000231134,0,0,0,0,0,0,0.000231134
2009/6/8,hadoop,0.000154089,0,0,0,0,0,0,0.000154089
2009/6/18,hadoop,0.000385223,0,0,0,0,0,0,0.000385223
2009/6/28,hadoop,0.000308178,0,0,0,0,0,0,0.000308178
2009/7/8,hadoop,0.000423745,0,0,0,0,0,0,0.000423745
2009/7/18,hadoop,0.000308178,0,0,0,0,0,0,0.000308178
2009/7/28,hadoop,0.000154089,0,0,0,0,0,0,0.000154089
2009/8/7,hadoop,0.000346701,0,0,0,0,0,0,0.000346701
2009/8/17,hadoop,0.000308178,0,0,0,0,0,0,0.000308178
2009/8/27,hadoop,0.000462267,0,0,0,0,0,0,0.000462267
2009/9/6,hadoop,0.000770446,0,0,0,0,0,0,0.000770446
2009/9/16,hadoop,0.000693401,0,0,0,0,0,0,0.000693401
2009/9/26,hadoop,7.70E-05,0,0,0,0,0,0,7.70446E-05
2009/10/6,hadoop,0.000308178,0,0,0,0,0,0,0.000308178
2009/10/16,hadoop,0.000423745,0,0,0,0,0,0,0.000423745
2009/10/26,hadoop,0.000346701,0,0,0,0,0,0,0.000346701
2009/11/5,hadoop,0.000115567,0,0,0,0,0,0,0.000115567
2009/11/15,hadoop,0.000115567,0,0,0,0,0,0,0.000115567
2009/11/25,hadoop,0.000269656,0,0,0,0,0,0,0.000269656
2009/12/5,hadoop,0.00050079,0,0,0,0,0,0,0.00050079
2009/12/15,hadoop,0.000731923,0,0,0,0,0,0,0.000731923
2009/12/25,hadoop,7.70E-05,0,0,0,0,0,0,7.70446E-05
2010/1/4,hadoop,0.000423745,0,0,0,0,0,0,0.000423745
2010/1/14,hadoop,0.000192611,0,0,0,0,0,0,0.000192611
2010/1/24,hadoop,0.000346701,0,0,0,0,0,0,0.000346701
2010/2/3,hadoop,0.000346701,0,0,0,0,0,0,0.000346701
2010/2/13,hadoop,0.000654879,0,0,0,0,0,0,0.000654879
2010/2/23,hadoop,0.000577834,0,0,0,0,0,0,0.000577834
2010/3/5,hadoop,0.000115567,0,0,0,0,0,0,0.000115567
2010/3/15,hadoop,0.000423745,0,0,0,0,0,0,0.000423745
2010/3/25,hadoop,0.000115567,0,0,0,0,0,0,0.000115567
2010/4/4,hadoop,0.000192611,0,0,0,0,0,0,0.000192611
2010/4/14,hadoop,0.000269656,0,0,0,0,0,0,0.000269656
2010/4/24,hadoop,0.001001579,0,0,0,0,0,0,0.001001579
2010/5/4,hadoop,0.000192611,0,0,0,0,0,0,0.000192611
2010/5/14,hadoop,0.00050079,0,0,0,0,0,0,0.00050079
2010/5/24,hadoop,0.00050079,0,0,0,0,0,0,0.00050079
2010/6/3,hadoop,0.00084749,0,0,0,0,0,0,0.00084749
2010/6/13,hadoop,0.000269656,0,0,0,0,0,0,0.000269656
2010/6/23,hadoop,7.70E-05,0,0,0,0,0,0,7.70446E-05
2010/7/3,hadoop,0.000308178,0,0,0,0,0,0,0.000308178
2010/7/13,hadoop,0.000462267,0,0,0,0,0,0,0.000462267
2010/7/23,hadoop,0.000577834,0,0,0,0,0,0,0.000577834
2010/8/2,hadoop,0.000269656,0,0,0,0,0,0,0.000269656
2010/8/12,hadoop,0.000269656,0,0,0,0,0,0,0.000269656
2010/8/22,hadoop,0.000308178,0,0,0,0,0,0,0.000308178
2010/9/1,hadoop,0.000192611,0,0,0,0,0,0,0.000192611
2010/9/11,hadoop,7.70E-05,0,0,0,0,0,0,7.70446E-05
2010/9/21,hadoop,0.000231134,0,0,0,0,0,0,0.000231134
2010/10/1,hadoop,0.000385223,0,0,0,0,0,0,0.000385223
2010/10/11,hadoop,3.85E-05,0,0,0,0,0,0,3.85223E-05
2010/10/21,hadoop,0.000577834,0,0,0,0,0,0,0.000577834
2010/10/31,hadoop,0.000308178,0,0,0,0,0,0,0.000308178
2010/11/10,hadoop,0.000654879,0,0,0,0,0,0,0.000654879
2010/11/20,hadoop,0.000269656,0,0,0,0,0,0,0.000269656
2010/11/30,hadoop,0.000308178,0,0,0,0,0,0,0.000308178
2010/12/10,hadoop,0.000154089,0,0,0,0,0,0,0.000154089
2010/12/20,hadoop,0.000115567,0,0,0,0,0,0,0.000115567
2010/12/30,hadoop,0.000231134,0,0,0,0,0,0,0.000231134
2011/1/9,hadoop,0.000462267,0,0,0,0,0,0,0.000462267
2011/1/19,hadoop,0.000346701,0,0,0,0,0,0,0.000346701
2011/1/29,hadoop,0.000231134,0,0,0,0,0,0,0.000231134
2011/2/8,hadoop,0.00050079,0,0,0,0,0,0,0.00050079
2011/2/18,hadoop,0.000115567,0,0,0,0,0,0,0.000115567
2011/2/28,hadoop,0.000385223,0,0,0,0,0,0,0.000385223
2011/3/10,hadoop,0.000346701,0,0,0,0,0,0,0.000346701
2011/3/20,hadoop,0.000308178,0,0,0,0,0,0,0.000308178
2011/3/30,hadoop,0.000308178,0,0,0,0,0,0,0.000308178
2011/4/9,hadoop,0.000462267,0,0,0,0,0,0,0.000462267
2011/4/19,hadoop,0.000308178,0,0,0,0,0,0,0.000308178
2011/4/29,hadoop,0.000577834,0,0,0,0,0,0,0.000577834
2011/5/9,hadoop,0.001078624,0,0,0,0,0,0,0.001078624
2011/5/19,hadoop,0.000693401,0,0,0,0,0,0,0.000693401
2011/5/29,hadoop,0.000731923,0,0,0,0,0,0,0.000731923
2011/6/8,hadoop,0.001232713,0,0,0,0,0,0,0.001232713
2011/6/18,hadoop,0.000808968,0,0,0,0,0,0,0.000808968
2011/6/28,hadoop,0.001155669,0,0,0,0,0,0,0.001155669
2011/7/8,hadoop,0.001271235,0,0,0,0,0,0,0.001271235
2011/7/18,hadoop,0.001772025,0,0,0,0,0,0,0.001772025
2011/7/28,hadoop,0.001617936,0,0,0,0,0,0,0.001617936
2011/8/7,hadoop,0.001733503,0,0,0,0,0,0,0.001733503
2011/8/17,hadoop,0.00219577,0,0,0,0,0,0,0.00219577
2011/8/27,hadoop,0.00134828,0,0,0,0,0,0,0.00134828
2011/9/6,hadoop,0.003004738,0,0,0,0,0,0,0.003004738
2011/9/16,hadoop,0.002465426,0,0,0,0,0,0,0.002465426
2011/9/26,hadoop,0.003235872,0,0,0,0,0,0,0.003235872
2011/10/6,hadoop,0.003235872,0,0,0,0,0,0,0.003235872
2011/10/16,hadoop,0.002966216,0,0,0,0,0,0,0.002966216
2011/10/26,hadoop,0.005200508,0,0,0,0,0,0,0.005200508
2011/11/5,hadoop,0.001040102,0,0,0,0,0,0,0.001040102
2011/11/15,hadoop,0.002503949,0,0,0,0,0,0,0.002503949
2011/11/25,hadoop,0.002388382,0,0,0,0,0,0,0.002388382
2011/12/5,hadoop,0.004006318,0,0,0,0,0,0,0.004006318
2011/12/15,hadoop,0.002157248,0,0,0,0,0,0,0.002157248
2011/12/25,hadoop,0.001078624,0,0,0,0,0,0,0.001078624
2012/1/4,hadoop,0.003312917,0,0,0,0,0,0,0.003312917
2012/1/14,hadoop,0.002041681,0,0,0,0,0,0,0.002041681
2012/1/24,hadoop,0.004006318,0,0,0,0,0,0,0.004006318
2012/2/3,hadoop,0.004353018,0,0,0,0,0,0,0.004353018
2012/2/13,hadoop,0.002889171,0,0,0,0,0,0,0.002889171
2012/2/23,hadoop,0.003929273,0,0,0,0,0,0,0.003929273
2012/3/4,hadoop,0.002003159,0,0,0,0,0,0,0.002003159
2012/3/14,hadoop,0.002349859,0,0,0,0,0,0,0.002349859
2012/3/24,hadoop,0.003043261,0,0,0,0,0,0,0.003043261
2012/4/3,hadoop,0.00489233,0,0,0,0,0,0,0.00489233
2012/4/13,hadoop,0.002311337,0,0,0,0,0,0,0.002311337
2012/4/23,hadoop,0.002580993,0,0,0,0,0,0,0.002580993
2012/5/3,hadoop,0.002889171,0,0,0,0,0,0,0.002889171
2012/5/13,hadoop,0.002041681,0,0,0,0,0,0,0.002041681
2012/5/23,hadoop,0.001810547,0,0,0,0,0,0,0.001810547
2012/6/2,hadoop,0.001579414,0,0,0,0,0,0,0.001579414
2012/6/12,hadoop,0.001579414,0,0,0,0,0,0,0.001579414
2012/6/22,hadoop,0.001694981,0,0,0,0,0,0,0.001694981
2012/7/2,hadoop,0.002542471,0,0,0,0,0,0,0.002542471
2012/7/12,hadoop,0.002927694,0,0,0,0,0,0,0.002927694
2012/7/22,hadoop,0.001926114,0,0,0,0,0,0,0.001926114
2012/8/1,hadoop,0.001579414,0,0,0,0,0,0,0.001579414
2012/8/11,hadoop,0.002580993,0.076923077,0,0,0,0,0,0.07950407
2012/8/21,hadoop,0.002773605,0,0,0,0,0,0,0.002773605
2012/8/31,hadoop,0.002966216,0,0,0,0,0,0,0.002966216
2012/9/10,hadoop,0.002234293,0,0,0,0,0,0,0.002234293
2012/9/20,hadoop,0.002234293,0,0,0,0,0,0,0.002234293
2012/9/30,hadoop,0.00219577,0,0,0,0,0,0,0.00219577
2012/10/10,hadoop,0.003043261,0,0,0,0,0,0,0.003043261
2012/10/20,hadoop,0.002388382,0,0,0,0,0,0,0.002388382
2012/10/30,hadoop,0.002773605,0,0,0,0,0,0,0.002773605
2012/11/9,hadoop,0.002850649,0,0,0,0,0,0,0.002850649
2012/11/19,hadoop,0.001309758,0,0,0,0,0,0,0.001309758
2012/11/29,hadoop,0.001425325,0,0,0,0,0,0,0.001425325
2012/12/9,hadoop,0.001733503,0,0,0,0,0,0,0.001733503
2012/12/19,hadoop,0.001232713,0,0,0,0,0,0,0.001232713
2012/12/29,hadoop,0.00134828,0,0,0,0,0,0,0.00134828
2013/1/8,hadoop,0.004121885,0,0,0,0,0,0,0.004121885
2013/1/18,hadoop,0.001694981,0,0,0,0,0,0,0.001694981
2013/1/28,hadoop,0.002542471,0,0,0,0,0,0,0.002542471
2013/2/7,hadoop,0.001694981,0,0,0,0,0,0,0.001694981
2013/2/17,hadoop,0.001232713,0,0,0,0,0,0,0.001232713
2013/2/27,hadoop,0.00269656,0,0,0,0,0,0,0.00269656
2013/3/9,hadoop,0.002157248,0,0,0,0,0,0,0.002157248
2013/3/19,hadoop,0.002735082,0,0,0,0,0,0,0.002735082
2013/3/29,hadoop,0.002003159,0,0,0,0,0,0,0.002003159
2013/4/8,hadoop,0.002619515,0,0,0,0,0,0,0.002619515
2013/4/18,hadoop,0.003428483,0,0,0,0,0,0,0.003428483
2013/4/28,hadoop,0.002272815,0,0,0,0,0,0,0.002272815
2013/5/8,hadoop,0.002542471,0,0,0,0,0,0,0.002542471
2013/5/18,hadoop,0.001117146,0,0,0,0,0,0,0.001117146
2013/5/28,hadoop,0.00354405,0,0,0,0,0,0,0.00354405
2013/6/7,hadoop,0.002773605,0,0,0,0,0,0,0.002773605
2013/6/17,hadoop,0.002927694,0,0,0,0,0,0,0.002927694
2013/6/27,hadoop,0.001194191,0,0,0,0,0,0,0.001194191
2013/7/7,hadoop,0.002234293,0,0,0,0,0,0,0.002234293
2013/7/17,hadoop,0.002850649,0,0,0,0,0,0,0.002850649
2013/7/27,hadoop,0.002349859,0,0,0,0,0,0,0.002349859
2013/8/6,hadoop,0.00269656,0,0,0,0,0,0,0.00269656
2013/8/16,hadoop,0.002349859,0,0,0,0,0,0,0.002349859
2013/8/26,hadoop,0.002349859,0,0,0,0,0,0,0.002349859
2013/9/5,hadoop,0.002388382,0,0,0,0,0,0,0.002388382
2013/9/15,hadoop,0.002503949,0,0,0,0,0,0,0.002503949
2013/9/25,hadoop,0.003813706,0,0,0,0,0,0,0.003813706
2013/10/5,hadoop,0.003081783,0,0,0,0,0,0,0.003081783
2013/10/15,hadoop,0.003274394,0,0,0,0,0,0,0.003274394
2013/10/25,hadoop,0.002080203,0,0,0,0,0,0,0.002080203
2013/11/4,hadoop,0.003043261,0,0,0,0,0,0,0.003043261
2013/11/14,hadoop,0.003158827,0,0,0,0,0,0,0.003158827
2013/11/24,hadoop,0.001694981,0,0,0,0,0,0,0.001694981
2013/12/4,hadoop,0.003081783,0,0,0,0,0,0,0.003081783
2013/12/14,hadoop,0.002349859,0,0,0,0,0,0,0.002349859
2013/12/24,hadoop,0.001117146,0,0,0,0,0,0,0.001117146
2014/1/3,hadoop,0.002118726,0,0,0,0,0,0,0.002118726
2014/1/13,hadoop,0.002658038,0,0,0,0,0,0,0.002658038
2014/1/23,hadoop,0.003698139,0,0,0,0,0,0,0.003698139
2014/2/2,hadoop,0.003120305,0,0,0,0,0,0,0.003120305
2014/2/12,hadoop,0.005007897,0,0,0,0,0,0,0.005007897
2014/2/22,hadoop,0.003698139,0,0,0,0,0,0,0.003698139
2014/3/4,hadoop,0.003736662,0,0,0,0,0,0,0.003736662
2014/3/14,hadoop,0.00269656,0,0,0,0,0,0,0.00269656
2014/3/24,hadoop,0.002889171,0,0,0,0,0,0,0.002889171
2014/4/3,hadoop,0.002927694,0,0,0,0,0,0,0.002927694
2014/4/13,hadoop,0.001772025,0,0,0,0,0,0,0.001772025
