date,project_id,commits,commit_count,forks,issue,issue_comment,req_closed,req_opened,score
2011/8/1,kafka,0.000984155,0,0,0,0,0,0,0.000984155
2011/8/11,kafka,0.001180986,0,0,0,0,0,0,0.001180986
2011/8/21,kafka,0.00088574,0,0,0,0,0,0,0.00088574
2011/8/31,kafka,0.000590493,0,0,0,0,0,0,0.000590493
2011/9/10,kafka,0.000196831,0,0,0,0,0,0,0.000196831
2011/9/20,kafka,0.000590493,0,0,0,0,0,0,0.000590493
2011/9/30,kafka,0.002361972,0,0,0,0,0,0,0.002361972
2011/10/10,kafka,0.001180986,0.006493506,0,0,0,0,0,0.007674492
2011/10/20,kafka,0.000590493,0,0,0,0,0,0,0.000590493
2011/10/30,kafka,0.000590493,0,0,0,0,0,0,0.000590493
2011/11/9,kafka,0.000196831,0,0,0,0,0,0,0.000196831
2011/11/19,kafka,0.001180986,0,0,0,0,0,0,0.001180986
2011/11/29,kafka,0.000492078,0,8.91E-05,0,0,0,0,0.000581181
2011/12/9,kafka,0.000393662,0,0,0,0,0,0,0.000393662
2011/12/19,kafka,0,0,0,0,0,0,0,0
2011/12/29,kafka,0.000590493,0,8.91E-05,0,0,0,0,0.000679596
2012/1/8,kafka,0.001082571,0,0,0,0,0,0,0.001082571
2012/1/18,kafka,0.000196831,0,8.91E-05,0,0,0,0,0.000285934
2012/1/28,kafka,0.000393662,0,0,0,0,0,0,0.000393662
2012/2/7,kafka,0.001082571,0,8.91E-05,0,0,0,0,0.001171674
2012/2/17,kafka,0.00088574,0.006493506,8.91E-05,0,0,0,0,0.007468349
2012/2/27,kafka,0.00088574,0,0,0,0,0,0,0.00088574
2012/3/8,kafka,0.000393662,0,0.000178205,0,0,0,0,0.000571867
2012/3/18,kafka,0.000688909,0,8.91E-05,0,0,0,0,0.000778012
2012/3/28,kafka,0.000196831,0,0.000178205,0,0,0,0,0.000375036
2012/4/7,kafka,0.000295247,0,0,0,0,0,0,0.000295247
2012/4/17,kafka,0.000196831,0,8.91E-05,0,0,0,0,0.000285934
2012/4/27,kafka,9.84E-05,0,8.91E-05,0,0,0,0,0.000187518
2012/5/7,kafka,0,0,0,0,0,0,0,0
2012/5/17,kafka,0.000196831,0,8.91E-05,0,0,0,0,0.000285934
2012/5/27,kafka,0.000393662,0,8.91E-05,0,0,0,0,0.000482765
2012/6/6,kafka,0.000590493,0,8.91E-05,0,0,0,0,0.000679596
